Lat,Lon,Text
-7.56654451,110.80751538,"I'm at Solo Grand Mall (Surakarta, Jawa Tengah) w/ 2 others http://t.co/zDvYcDL8"
-20.30633684,-40.3164907,"Já to pronto p surf, só esperando meu pai"
39.73018325,-90.26946013,"@hmh_622 I accidentally picked French for this one -_____-"
29.56455206,-95.39824245,"Iiiigggglllooooo.. Igloo"
57.15442311,24.85321948,"Рига,обойти бы тебя стороной"
41.02340571,29.02457891,"Günaydın :)"
51.36270807,-1.28312939,"@SimonWooldridge got your shoes?"
32.4318054,-93.776707,"But still tweeting"
39.9186014,-75.3869931,"Who still up rt"
-6.2558875,106.81277275,"Leha.. Leha.. (@ La Codefin) http://t.co/J4I8JMqZ"
32.9413653,-96.7473514,"@KellyDivine hey babe"
33.34025245,-111.90751868,"ID RATHER HAVE A ZOMBIE ALPACALYPSE"
37.99482498,-122.31982269,"Ciroc booty😱"
38.15648097,-87.5514376,"Lol Shaq mean as fuck! RTRT“@ShKillz: YESSS ! “@KemarRozay: Just can't believe my iPhone screen broke 😒””"
51.36393179,-0.28984573,"Didn't the birds migrate this year - apparently not as they are sat outside my window being obscenely noisy #morning"
-8.1195105,113.2301918,"Opo ae pi @ZelaSelvina: (σ`▽´)-σ RT @Candraferyandi: Aku grogi"@virdaCAN: Disimak lho ah @Candraferyandi: Tuh disamak2 "@virdaCAN: Guru apa?"
38.27251671,140.98816867,"@UVER_OTAKE_Vo @chikeeri あーなるほど。そりゃ〜足りないわ(￣ー￣)"
32.79207554,-83.70382977,"Its 4beds in thid house lol."
26.37365179,-81.59246304,"Drunk confessions, I have cheated in a relationship before but only cause that bitch was with three other guys while she was with me -.-"
30.45536443,-87.24217339,""@Kidd_AK47: Latif tryna be da hawg and shit" Lol , Yu Ruinin The Moment Bruh !"
-6.21020754,106.85006618,"Sindoro siap langsir menuju gambir (⌒˛⌒)‎​9 (@ Stasiun Manggarai) http://t.co/XeCnye0K"
43.0687713,141.3532463,"@kiukaibutu ずーるーいー(笑)"
32.51334452,-117.01179743,"No es de Dios >.< (@ El Pub De La Chapu w/ @i_karyee) [pic]: http://t.co/cW8mxbbH"
2.7191431,101.9957366,"@MuhdAliTyson sembang parpuuu."
-7.9562618,112.620449,"Ciyeee bisa marah wkwk RT @samuelbtbt: @adelyahesty @anggitarindaa ada ya bbm gak di rid tp bs twitteran. Oh oke del oke ! Cukstaw"
36.21812336,-86.57734153,"I just realized my brights have been on since I dropped David off & I just got home. #mybad😳"
40.7627453,29.9207524,"Gecen senelerde sinavlara bir gun oncesinden calismaya baslardim. Simdi onu da yapmiyorum"
5.1546173,100.4241174,"Tanda2 kematian kita dpt dirasakan selepas kita solat asar ."
37.179245,-2.937907,"El peor dia de reyes de toda mi vida..."
53.15282261,-1.20287645,"#pimpin @danielwheat94 #2FlyChicas @georginamakings http://t.co/GfQ44VTY"
5.3821695,100.2810086,"Comelnya twitcon :) @LyaaAwwsome"
36.2014181,-121.1288476,"@MannyWowwie Mhmm. Lol http://t.co/q8afHQZT"
61.676079,24.31106042,"Pelipäivä! Jyväskylään hakee pisteet kotia. #Salibandy #cama"
41.03088219,29.09835243,"Yatak, içindeyken güzel. Günaydın! (@ ZKhome) http://t.co/4z5hb47e"
52.54434,-2.10389,"Just thinking about you makes me smile ."
-6.13389357,106.8444675,"Oyaaa, yg jualan bakso yes? Haha "@rismarossyta: Mas karjo wkwkwkw (gak mau sebut nama)RT @pipittNFH: Mas sopo? "@rismarossyta: diettt demi"
30.83596732,-83.30873877,"@AyeTezz Quartez."
37.3208452,-5.41928372,"Buenos días España venga a disfrutar con esta bonita tradición que llevamos desde ace cientos de Aňos con nuestros queridos reyes magos"
-6.23770482,106.9011396,"@chikanchut mauu ketemu bgt cikk tp susaah, kemaren chikanya gajadi kewuluh...:'"
38.4149002,27.1795391,"@KaratasArife semihle .d asker arkadaşinmı"
36.6169874,-6.2370731,"@NovaMonsterZ que te han regalado?"
55.92050625,-4.45378797,"@jojobhoy88 sent you that wee quote to cheer u up. Lol. Xxx"
34.51298904,134.87237549,"@yuuuu1004 @sappi_33 すっごいですね、れおさん。なんかいいことかいとんですか？"
41.4286358,2.1753001,"#Top10GreatestVoices @NiallerHoran21 @_zaynmalikof1D @69HazzaStyles @LouOfficial15 @Liam_PaynePriv"
33.49520407,130.51855445,"I'm at ファミリーマート JR二日市駅店 http://t.co/DlFVDNas"
38.32321608,-121.95157953,"IM DONE JUST KILL ME NOW 😥"
41.6633871,-87.5458977,"She's home<3 :')"
35.66582255,139.69967897,"在日ファンクLIVE！ (@ SHIBUYA-AX w/ 10 others) http://t.co/8z9ERuVA"
2.76670888,101.8266229,"@madihahmysarah hahaha.  Kesiannya.  Sbr lah k"
36.99991402,35.31748718,"I'm at Doremusic Akademi http://t.co/izdBzC5y"
41.61252979,-81.10517172,"can my dog stop snoring im trying to sleep"
-6.231228,106.7314569,"@Bstarz_lights SD iya SMP enggak"
5.34881261,100.52421366,"@SyifaMohdFarouk hahahaha btolll..anda dpt percuma loop!bwk blk nuh"
37.72428405,-97.29968198,"Definitely haven't smiled this much in a longggg time.."
45.59505074,-122.37093979,"Hard to keep my mind off of you. 😔"
33.81051617,-117.91895807,"Saying goodbye to the Christmas decorations  @ Main Street, U.S.A. http://t.co/Z3OprkiK"
26.0577395,-98.3109477,"@mynameislalo pues bajele jajaja"
-6.20601702,107.0126076,"I'm at @ffhslsblla's http://t.co/ufKJAisE"
37.85135357,-90.43421353,"@DerekMitchell13 yeah. I'm super tired though?"
-8.4215857,115.1912089,"Buseettt RT @PranitaRiska: menonjok RT @akun_KEPO Karena Lala sangat lucu akhirnya banyak orang yang __________ pipinya."
-2.93244,104.65929,"Yeyelalalala!☀"
-7.97619504,112.62366819,"Cari 'imam' - nikah - bangun rumah idaman - dekor+isi sesuka hati 🏠😄 (with @Firrnayana at ACE Hardware MOG) — http://t.co/JTUJuhQb"
40.94810058,-81.35649365,"@supatkelli needs to hit me up with a follow back 💋"
52.63750076,1.5575,"Carrot cake with orange buttercream @ Vanilla Chilli HQ http://t.co/qWwEkAlr"
34.9820359,-79.2262379,"Good thing is IF I oversleep, which I hope I don't, its only a 45 minute drive to campus, plus my car is already packed."
40.42808286,-74.35004788,"@Lil_ishola6 take me church"
36.6916603,-121.6579531,"@Annie86179664  
 Tengo tantas ganas de abrasarte besar te tu kuerpo y aserte mia."
52.1903947,6.8808293,"@KorteMoppen Geen van beide, HTC en Samsung"
52.2496923,6.1670985,"Awake"
45.54843727,-122.52614517,"The only thing inbetween @donaven_dorsey and midnight is 11:59"
41.01202268,28.8155572,"I'm at Kafedo (İstanbul) http://t.co/UhgZlSh4"
40.4313503,-3.5420937,"Que barbaridad! Felices Reyes! http://t.co/E1apBJ8u"
44.53358633,9.0059507,"@soanaserra buondì guerriera 😉 @pianetagenoa @paolopasquale @se_ivana @vonzellermann @silviettagenoa @grifone58 @beppe_serra #forzagenoa"
39.23046372,-84.5679344,"Tea Is Bad For Your Kidneys"
-6.8351492,106.7608908,"@afifufefox sudah beda tahun masalah nya"
33.95614476,-118.17321884,"no"
40.09002459,-75.05380089,"If I wake up and there's no NHL season I'm gonna flip out @HockeyyInsiderr"
22.13209922,-100.82464457,"I'm at Parador El Potosino (San Luis Potosí, SLP) http://t.co/BNf4Vitd"
37.0027438,35.3247805,"Asla pişman olmayın! Eğer sonucu iyiyse, mükemmel. Eğer sonucu kötüyse bu bir tecrübedir. (Victoria Holt)"
26.8792202,-101.3899557,"@maluBarrerag perdoname si?:c"
3.0402474,101.5797423,"@johann_haziq gerak padang?"
51.44188973,0.09391801,"@hair_exclusive @karenpmann no been doing this insanity thing with Ben but don't think I am made for this shit lol!! Wanna get the Josie one"
34.0494104,-118.25661063,"on fade (@ Library Bar w/ 2 others) http://t.co/32hPFLYt"
37.53795287,-5.09104987,"diaa de reyes...y q mis padrees se vayaaan y me dejeeen solo vaya telaa jajjjajajjjjaaj"
60.16912198,24.72311171,"off to have a brunch with lindsiee!"
48.9309848,2.33132915,"@Sia_Maelys oui et toi ?"
52.0558249,20.8772978,"Going back on tuesday. today sunday already...."
34.71121478,135.504273,"初JK21 (@ スタジオアクト) http://t.co/x5ASAovk"
49.02871122,1.98319677,"@Lea_Slt Merci :D"
57.68669739,11.96883244,"@hannamalmlof alltid mitt fel .."
30.98086186,-81.68689654,"@DorianMWilliams nice haha I've been sick & I don't feel good which is why I'm still up :("
1.54973986,103.79627235,"Ehem (@ Cotton on @ jusco tebrau) http://t.co/I6wMK5en"
40.15670065,-79.8790297,"Shit is #Bonkers!!!!"
41.12952385,-104.50965408,"The Wyncoop bull testicle beer totally sucks, okay? The base isn't even any good. Total novelty.  @FerretParade"
19.43191447,-102.04607649,"@ItsHennydoe on monday :D you beauty?"
33.93916794,-116.97604902,"'Beautiful crackhead' 
That's a new one 😂"
35.6259163,139.78159069,"埋立地の標高が高いのは伊勢湾台風がきっかけ（今尾先生） #culcul"
36.39444201,136.47731397,"I'm at みにょ～る (小松市, 石川県) http://t.co/4DtuCQbT"
-6.13466799,106.81284557,"Cheers wit @pmartika13 @ Cafe Batavia http://t.co/9Bf8BvWE"
19.4260629,-99.16222113,"Si, son de la unam, son bellas, y hacen tareas en tumbas <3 @ Villa Coapa http://t.co/EKyvFxSz"
51.09988718,17.01694001,"True :/ a ty wpusciles ksiedza? ;) RT “@Palikot_Janusz: Na Temat - Kolędowanie po kopertę http://t.co/O3YcfZYR”"
